Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Understanding the Brains and Brawn of Illicit Streaming App,Digital Forensics and Cyber Crime,,,,10.1007/978-3-031-06365-7_12,Kong HuangKe ZhangJiongyi ChenMenghan SunWei SunDi TangKehuan Zhang,2022,http://link.springer.com/chapter/10.1007/978-3-031-06365-7_12,Chapter
Automatically recommending components for issue reports using deep learning,Empirical Software Engineering,,26.0,2,10.1007/s10664-020-09898-5,Morakot ChoetkiertikulHoa Khanh DamTruyen TranTrang PhamChaiyong RagkhitwetsagulAditya Ghose,2021,http://link.springer.com/article/10.1007/s10664-020-09898-5,Article
Detection of Online Malicious Behavior: An Overview,Ambient Communications and Computer Systems,,,,10.1007/978-981-13-5934-7_2,D. S. DeshpandeS. P. DeshpandeV. M. Thakare,2019,http://link.springer.com/chapter/10.1007/978-981-13-5934-7_2,Chapter
Learning to recognize actionable static code warnings (is intrinsically easy),Empirical Software Engineering,,26.0,3,10.1007/s10664-021-09948-6,Xueqi YangJianfeng ChenRahul YedidaZhe YuTim Menzies,2021,http://link.springer.com/article/10.1007/s10664-021-09948-6,Article
Effect of Identifier Tokenization on Automatic Source Code Documentation,Arabian Journal for Science and Engineering,,47.0,2,10.1007/s13369-021-06149-7,Sawan RaiRamesh Chandra BelwalAtul Gupta,2022,http://link.springer.com/article/10.1007/s13369-021-06149-7,Article
Domain Adaptation of Transformers for English Word Segmentation,Intelligent Systems,,,,10.1007/978-3-030-61377-8_33,Ruan Chaves RodriguesAcquila Santos RochaMarcelo Akira InuzukaHugo Alexandre Dantas do Nascimento,2020,http://link.springer.com/chapter/10.1007/978-3-030-61377-8_33,Chapter
An Insight on Software Features Supporting Software Transplantation: A Systematic Review,Archives of Computational Methods in Engineering,,29.0,1,10.1007/s11831-021-09593-8,Gurjot Singh SodhiDhavleesh Rattan,2022,http://link.springer.com/article/10.1007/s11831-021-09593-8,Article
Code Property Graph-Based Vulnerability Dataset Generation for Source Code Detection,Frontiers in Cyber Security,,,,10.1007/978-981-15-9739-8_43,Zhibin GuanXiaomeng WangWei XinJiajie Wang,2020,http://link.springer.com/chapter/10.1007/978-981-15-9739-8_43,Chapter
Automatic query reformulation for code search using crowdsourced knowledge,Empirical Software Engineering,,24.0,4,10.1007/s10664-018-9671-0,Mohammad M. RahmanChanchal K. RoyDavid Lo,2019,http://link.springer.com/article/10.1007/s10664-018-9671-0,Article
Study on Binary Code Evolution with Concrete Semantic Analysis,Data Science,,,,10.1007/978-981-16-5943-0_3,Bing XiaJianmin PangJun WangFudong LiuFeng Yue,2021,http://link.springer.com/chapter/10.1007/978-981-16-5943-0_3,Chapter
CodeAttention: translating source code to comments by exploiting the code constructs,Frontiers of Computer Science,,13.0,3,10.1007/s11704-018-7457-6,Wenhao ZhengHongyu ZhouMing LiJianxin Wu,2019,http://link.springer.com/article/10.1007/s11704-018-7457-6,Article
"Publish or perish, but do not forget your software artifacts",Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09851-6,Robert HeumüllerSebastian NielebockJacob KrügerFrank Ortmeier,2020,http://link.springer.com/article/10.1007/s10664-020-09851-6,Article
Defect Prediction in Android Binary Executables Using Deep Neural Network,Wireless Personal Communications,,102.0,3,10.1007/s11277-017-5069-3,Feng DongJunfeng WangQi LiGuoai XuShaodong Zhang,2018,http://link.springer.com/article/10.1007/s11277-017-5069-3,Article
Do developers update their library dependencies?,Empirical Software Engineering,,23.0,1,10.1007/s10664-017-9521-5,Raula Gaikovina KulaDaniel M. GermanAli OuniTakashi IshioKatsuro Inoue,2018,http://link.springer.com/article/10.1007/s10664-017-9521-5,Article
XtraLibD: Detecting Irrelevant Third-Party Libraries in Java and Python Applications,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-030-96648-5_7,Ritu KapurPoojith U. RaoAgrim DewamBalwinder Sodhi,2022,http://link.springer.com/chapter/10.1007/978-3-030-96648-5_7,Chapter
Mining Source Code for Snippet Reuse,Mining Software Engineering Data for Software Reuse,,,,10.1007/978-3-030-30106-4_7,Themistoklis DiamantopoulosAndreas L. Symeonidis,2020,http://link.springer.com/chapter/10.1007/978-3-030-30106-4_7,Chapter
An Efficient Algorithm for Combining Verification and Validation Methods,SOFSEM 2019: Theory and Practice of Computer Science,,,,10.1007/978-3-030-10801-4_26,Isela MendozaUéverton SouzaMarcos KalinowskiRuben InterianLeonado Gresta Paulino Murta,2019,http://link.springer.com/chapter/10.1007/978-3-030-10801-4_26,Chapter
Mining the use of higher-order functions:,Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09842-7,Yisen XuFan WuXiangyang JiaLingbo LiJifeng Xuan,2020,http://link.springer.com/article/10.1007/s10664-020-09842-7,Article
AIdetectorX: A Vulnerability Detector Based on TCN and Self-attention Mechanism,"Dependable Software Engineering. Theories, Tools, and Applications",,,,10.1007/978-3-030-91265-9_9,Jinfu ChenBo LiuSaihua CaiWeijia WangShengran Wang,2021,http://link.springer.com/chapter/10.1007/978-3-030-91265-9_9,Chapter
Fine-Grained Obfuscation Scheme Recognition on Binary Code,Digital Forensics and Cyber Crime,,,,10.1007/978-3-031-06365-7_13,Zhenzhou TianHengchao MaoYaqian HuangJie TianJinrui Li,2022,http://link.springer.com/chapter/10.1007/978-3-031-06365-7_13,Chapter
On the Use of Smelly Examples to Detect Code Smells in JavaScript,Applications of Evolutionary Computation,,,,10.1007/978-3-319-55792-2_2,Ian ShoenbergerMohamed Wiem MkaouerMarouane Kessentini,2017,http://link.springer.com/chapter/10.1007/978-3-319-55792-2_2,Chapter
"Contrastive self-supervised learning: review, progress, challenges and future research directions",International Journal of Multimedia Information Retrieval,,,,10.1007/s13735-022-00245-6,Pranjal KumarPiyush RawatSiddhartha Chauhan,2022,http://link.springer.com/article/10.1007/s13735-022-00245-6,Article
FastTagRec: fast tag recommendation for software information sites,Automated Software Engineering,,25.0,4,10.1007/s10515-018-0239-4,Jin LiuPingyi ZhouZijiang YangXiao LiuJohn Grundy,2018,http://link.springer.com/article/10.1007/s10515-018-0239-4,Article
To Merge or Not to Merge: Managing Software Product Families,Grand Timely Topics in Software Engineering,,,,10.1007/978-3-319-60074-1_4,Julia Rubin,2017,http://link.springer.com/chapter/10.1007/978-3-319-60074-1_4,Chapter
TagDeepRec: Tag Recommendation for Software Information Sites Using Attention-Based Bi-LSTM,"Knowledge Science, Engineering and Management",,,,10.1007/978-3-030-29563-9_2,Can LiLing XuMeng YanJianJun HeZuli Zhang,2019,http://link.springer.com/chapter/10.1007/978-3-030-29563-9_2,Chapter
Toward an accurate method renaming approach via structural and lexical analyses,Frontiers of Information Technology & Electronic Engineering,,23.0,5,10.1631/FITEE.2100470,Junpeng Luo 骆君鹏Jingxuan Zhang 张静宣Zhiqiu Huang 黄志球Yong Xu 徐勇Chenxing Sun 孙辰星,2022,http://link.springer.com/article/10.1631/FITEE.2100470,Article
How do developers utilize source code from stack overflow?,Empirical Software Engineering,,24.0,2,10.1007/s10664-018-9634-5,Yuhao WuShaowei WangCor-Paul BezemerKatsuro Inoue,2019,http://link.springer.com/article/10.1007/s10664-018-9634-5,Article
CROKAGE: effective solution recommendation for programming tasks by leveraging crowd knowledge,Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09863-2,Rodrigo Fernandes Gomes da SilvaChanchal K. RoyMohammad Masudur RahmanKevin A. SchneiderKlérisson PaixãoCarlos Eduardo de Carvalho DantasMarcelo de Almeida Maia,2020,http://link.springer.com/article/10.1007/s10664-020-09863-2,Article
Application of Data Mining Technology in Software Engineering,Application of Intelligent Systems in Multi-modal Information Analytics,,,,10.1007/978-3-030-74814-2_49,Jing Chen,2021,http://link.springer.com/chapter/10.1007/978-3-030-74814-2_49,Chapter
The reproducibility of programming-related issues in Stack Overflow questions,Empirical Software Engineering,,27.0,3,10.1007/s10664-021-10113-2,Saikat MondalMohammad Masudur RahmanChanchal K. RoyKevin Schneider,2022,http://link.springer.com/article/10.1007/s10664-021-10113-2,Article
FixMiner: Mining relevant fix patterns for automated program repair,Empirical Software Engineering,,25.0,3,10.1007/s10664-019-09780-z,Anil KoyuncuKui LiuTegawendé F. BissyandéDongsun KimJacques KleinMartin MonperrusYves Le Traon,2020,http://link.springer.com/article/10.1007/s10664-019-09780-z,Article
CAPS: a supervised technique for classifying Stack Overflow posts concerning API issues,Empirical Software Engineering,,25.0,2,10.1007/s10664-019-09743-4,Md AhasanuzzamanMuhammad AsaduzzamanChanchal K. RoyKevin A. Schneider,2020,http://link.springer.com/article/10.1007/s10664-019-09743-4,Article
